snapshot_date,store_id,product_id,units_on_hand
2025-12-29,1,1001,127
2025-12-28,1,1001,196
2025-12-27,1,1001,20
2025-12-26,1,1001,150
2025-12-25,1,1001,29
2025-12-24,1,1001,147
2025-12-23,1,1001,5
2025-12-22,1,1001,13
2025-12-21,1,1001,95
2025-12-20,1,1001,53
2025-12-19,1,1001,97
2025-12-18,1,1001,186
2025-12-17,1,1001,75
2025-12-16,1,1001,49
2025-12-15,1,1001,60
2025-12-14,1,1001,18
2025-12-13,1,1001,104
2025-12-12,1,1001,18
2025-12-11,1,1001,0
2025-12-10,1,1001,135
2025-12-09,1,1001,87
2025-12-08,1,1001,113
2025-12-07,1,1001,42
2025-12-06,1,1001,200
2025-12-05,1,1001,53
2025-12-04,1,1001,152
2025-12-03,1,1001,157
2025-12-02,1,1001,74
2025-12-01,1,1001,147
2025-11-30,1,1001,60
2025-11-29,1,1001,35
2025-11-28,1,1001,192
2025-11-27,1,1001,161
2025-11-26,1,1001,133
2025-11-25,1,1001,42
2025-11-24,1,1001,56
2025-11-23,1,1001,54
2025-11-22,1,1001,95
2025-11-21,1,1001,122
2025-11-20,1,1001,127
2025-11-19,1,1001,145
2025-11-18,1,1001,108
2025-11-17,1,1001,200
2025-11-16,1,1001,97
2025-11-15,1,1001,140
2025-11-14,1,1001,72
2025-11-13,1,1001,120
2025-11-12,1,1001,109
2025-11-11,1,1001,79
2025-11-10,1,1001,157
2025-11-09,1,1001,154
2025-11-08,1,1001,170
2025-11-07,1,1001,77
2025-11-06,1,1001,107
2025-11-05,1,1001,161
2025-11-04,1,1001,62
2025-11-03,1,1001,92
2025-11-02,1,1001,188
2025-11-01,1,1001,84
2025-10-31,1,1001,191
2025-10-30,1,1001,124
2025-12-29,1,1002,174
2025-12-28,1,1002,103
2025-12-27,1,1002,166
2025-12-26,1,1002,167
2025-12-25,1,1002,91
2025-12-24,1,1002,14
2025-12-23,1,1002,164
2025-12-22,1,1002,79
2025-12-21,1,1002,100
2025-12-20,1,1002,60
2025-12-19,1,1002,96
2025-12-18,1,1002,79
2025-12-17,1,1002,164
2025-12-16,1,1002,187
2025-12-15,1,1002,29
2025-12-14,1,1002,74
2025-12-13,1,1002,167
2025-12-12,1,1002,119
2025-12-11,1,1002,190
2025-12-10,1,1002,184
2025-12-09,1,1002,98
2025-12-08,1,1002,83
2025-12-07,1,1002,6
2025-12-06,1,1002,35
2025-12-05,1,1002,78
2025-12-04,1,1002,181
2025-12-03,1,1002,16
2025-12-02,1,1002,70
2025-12-01,1,1002,43
2025-11-30,1,1002,35
2025-11-29,1,1002,112
2025-11-28,1,1002,124
2025-11-27,1,1002,171
2025-11-26,1,1002,19
2025-11-25,1,1002,72
2025-11-24,1,1002,31
2025-11-23,1,1002,107
2025-11-22,1,1002,191
2025-11-21,1,1002,118
2025-11-20,1,1002,58
2025-11-19,1,1002,163
2025-11-18,1,1002,5
2025-11-17,1,1002,83
2025-11-16,1,1002,129
2025-11-15,1,1002,0
2025-11-14,1,1002,111
2025-11-13,1,1002,187
2025-11-12,1,1002,124
2025-11-11,1,1002,66
2025-11-10,1,1002,76
2025-11-09,1,1002,154
2025-11-08,1,1002,24
2025-11-07,1,1002,13
2025-11-06,1,1002,175
2025-11-05,1,1002,51
2025-11-04,1,1002,172
2025-11-03,1,1002,67
2025-11-02,1,1002,137
2025-11-01,1,1002,188
2025-10-31,1,1002,143
2025-10-30,1,1002,193
2025-12-29,1,1003,55
2025-12-28,1,1003,4
2025-12-27,1,1003,144
2025-12-26,1,1003,13
2025-12-25,1,1003,196
2025-12-24,1,1003,71
2025-12-23,1,1003,196
2025-12-22,1,1003,61
2025-12-21,1,1003,72
2025-12-20,1,1003,72
2025-12-19,1,1003,46
2025-12-18,1,1003,66
2025-12-17,1,1003,2
2025-12-16,1,1003,182
2025-12-15,1,1003,172
2025-12-14,1,1003,79
2025-12-13,1,1003,130
2025-12-12,1,1003,79
2025-12-11,1,1003,108
2025-12-10,1,1003,190
2025-12-09,1,1003,35
2025-12-08,1,1003,113
2025-12-07,1,1003,131
2025-12-06,1,1003,80
2025-12-05,1,1003,60
2025-12-04,1,1003,71
2025-12-03,1,1003,78
2025-12-02,1,1003,47
2025-12-01,1,1003,193
2025-11-30,1,1003,146
2025-11-29,1,1003,67
2025-11-28,1,1003,142
2025-11-27,1,1003,67
2025-11-26,1,1003,115
2025-11-25,1,1003,95
2025-11-24,1,1003,191
2025-11-23,1,1003,161
2025-11-22,1,1003,76
2025-11-21,1,1003,198
2025-11-20,1,1003,31
2025-11-19,1,1003,79
2025-11-18,1,1003,158
2025-11-17,1,1003,52
2025-11-16,1,1003,147
2025-11-15,1,1003,49
2025-11-14,1,1003,0
2025-11-13,1,1003,97
2025-11-12,1,1003,14
2025-11-11,1,1003,94
2025-11-10,1,1003,121
2025-11-09,1,1003,95
2025-11-08,1,1003,199
2025-11-07,1,1003,22
2025-11-06,1,1003,133
2025-11-05,1,1003,12
2025-11-04,1,1003,49
2025-11-03,1,1003,44
2025-11-02,1,1003,140
2025-11-01,1,1003,127
2025-10-31,1,1003,21
2025-10-30,1,1003,84
2025-12-29,1,1004,36
2025-12-28,1,1004,184
2025-12-27,1,1004,102
2025-12-26,1,1004,30
2025-12-25,1,1004,190
2025-12-24,1,1004,125
2025-12-23,1,1004,144
2025-12-22,1,1004,13
2025-12-21,1,1004,26
2025-12-20,1,1004,194
2025-12-19,1,1004,161
2025-12-18,1,1004,94
2025-12-17,1,1004,110
2025-12-16,1,1004,161
2025-12-15,1,1004,161
2025-12-14,1,1004,145
2025-12-13,1,1004,15
2025-12-12,1,1004,0
2025-12-11,1,1004,195
2025-12-10,1,1004,171
2025-12-09,1,1004,191
2025-12-08,1,1004,184
2025-12-07,1,1004,34
2025-12-06,1,1004,103
2025-12-05,1,1004,133
2025-12-04,1,1004,71
2025-12-03,1,1004,81
2025-12-02,1,1004,11
2025-12-01,1,1004,192
2025-11-30,1,1004,184
2025-11-29,1,1004,147
2025-11-28,1,1004,120
2025-11-27,1,1004,92
2025-11-26,1,1004,148
2025-11-25,1,1004,17
2025-11-24,1,1004,52
2025-11-23,1,1004,38
2025-11-22,1,1004,177
2025-11-21,1,1004,69
2025-11-20,1,1004,161
2025-11-19,1,1004,105
2025-11-18,1,1004,49
2025-11-17,1,1004,100
2025-11-16,1,1004,37
2025-11-15,1,1004,61
2025-11-14,1,1004,189
2025-11-13,1,1004,4
2025-11-12,1,1004,169
2025-11-11,1,1004,1
2025-11-10,1,1004,124
2025-11-09,1,1004,37
2025-11-08,1,1004,116
2025-11-07,1,1004,104
2025-11-06,1,1004,57
2025-11-05,1,1004,13
2025-11-04,1,1004,147
2025-11-03,1,1004,117
2025-11-02,1,1004,116
2025-11-01,1,1004,148
2025-10-31,1,1004,73
2025-10-30,1,1004,133
2025-12-29,1,1005,110
2025-12-28,1,1005,195
2025-12-27,1,1005,160
2025-12-26,1,1005,110
2025-12-25,1,1005,20
2025-12-24,1,1005,65
2025-12-23,1,1005,159
2025-12-22,1,1005,178
2025-12-21,1,1005,27
2025-12-20,1,1005,104
2025-12-19,1,1005,18
2025-12-18,1,1005,68
2025-12-17,1,1005,167
2025-12-16,1,1005,126
2025-12-15,1,1005,174
2025-12-14,1,1005,130
2025-12-13,1,1005,35
2025-12-12,1,1005,19
2025-12-11,1,1005,78
2025-12-10,1,1005,27
2025-12-09,1,1005,44
2025-12-08,1,1005,34
2025-12-07,1,1005,110
2025-12-06,1,1005,200
2025-12-05,1,1005,22
2025-12-04,1,1005,7
2025-12-03,1,1005,182
2025-12-02,1,1005,19
2025-12-01,1,1005,92
2025-11-30,1,1005,83
2025-11-29,1,1005,184
2025-11-28,1,1005,198
2025-11-27,1,1005,113
2025-11-26,1,1005,117
2025-11-25,1,1005,172
2025-11-24,1,1005,139
2025-11-23,1,1005,68
2025-11-22,1,1005,74
2025-11-21,1,1005,190
2025-11-20,1,1005,17
2025-11-19,1,1005,114
2025-11-18,1,1005,99
2025-11-17,1,1005,123
2025-11-16,1,1005,55
2025-11-15,1,1005,153
2025-11-14,1,1005,72
2025-11-13,1,1005,68
2025-11-12,1,1005,109
2025-11-11,1,1005,118
2025-11-10,1,1005,146
2025-11-09,1,1005,66
2025-11-08,1,1005,115
2025-11-07,1,1005,31
2025-11-06,1,1005,147
2025-11-05,1,1005,162
2025-11-04,1,1005,46
2025-11-03,1,1005,174
2025-11-02,1,1005,29
2025-11-01,1,1005,115
2025-10-31,1,1005,176
2025-10-30,1,1005,137
2025-12-29,1,1006,189
2025-12-28,1,1006,165
2025-12-27,1,1006,94
2025-12-26,1,1006,170
2025-12-25,1,1006,148
2025-12-24,1,1006,179
2025-12-23,1,1006,2
2025-12-22,1,1006,159
2025-12-21,1,1006,164
2025-12-20,1,1006,67
2025-12-19,1,1006,105
2025-12-18,1,1006,101
2025-12-17,1,1006,23
2025-12-16,1,1006,58
2025-12-15,1,1006,110
2025-12-14,1,1006,190
2025-12-13,1,1006,71
2025-12-12,1,1006,60
2025-12-11,1,1006,19
2025-12-10,1,1006,77
2025-12-09,1,1006,94
2025-12-08,1,1006,87
2025-12-07,1,1006,146
2025-12-06,1,1006,156
2025-12-05,1,1006,23
2025-12-04,1,1006,170
2025-12-03,1,1006,154
2025-12-02,1,1006,36
2025-12-01,1,1006,67
2025-11-30,1,1006,138
2025-11-29,1,1006,57
2025-11-28,1,1006,149
2025-11-27,1,1006,184
2025-11-26,1,1006,139
2025-11-25,1,1006,104
2025-11-24,1,1006,171
2025-11-23,1,1006,89
2025-11-22,1,1006,138
2025-11-21,1,1006,122
2025-11-20,1,1006,137
2025-11-19,1,1006,196
2025-11-18,1,1006,31
2025-11-17,1,1006,183
2025-11-16,1,1006,128
2025-11-15,1,1006,56
2025-11-14,1,1006,138
2025-11-13,1,1006,197
2025-11-12,1,1006,23
2025-11-11,1,1006,160
2025-11-10,1,1006,36
2025-11-09,1,1006,185
2025-11-08,1,1006,92
2025-11-07,1,1006,132
2025-11-06,1,1006,42
2025-11-05,1,1006,174
2025-11-04,1,1006,147
2025-11-03,1,1006,76
2025-11-02,1,1006,159
2025-11-01,1,1006,139
2025-10-31,1,1006,158
2025-10-30,1,1006,14
2025-12-29,1,1007,6
2025-12-28,1,1007,112
2025-12-27,1,1007,139
2025-12-26,1,1007,69
2025-12-25,1,1007,98
2025-12-24,1,1007,138
2025-12-23,1,1007,14
2025-12-22,1,1007,37
2025-12-21,1,1007,15
2025-12-20,1,1007,43
2025-12-19,1,1007,147
2025-12-18,1,1007,22
2025-12-17,1,1007,48
2025-12-16,1,1007,16
2025-12-15,1,1007,85
2025-12-14,1,1007,88
2025-12-13,1,1007,15
2025-12-12,1,1007,171
2025-12-11,1,1007,120
2025-12-10,1,1007,103
2025-12-09,1,1007,143
2025-12-08,1,1007,38
2025-12-07,1,1007,54
2025-12-06,1,1007,173
2025-12-05,1,1007,108
2025-12-04,1,1007,76
2025-12-03,1,1007,108
2025-12-02,1,1007,193
2025-12-01,1,1007,169
2025-11-30,1,1007,147
2025-11-29,1,1007,81
2025-11-28,1,1007,41
2025-11-27,1,1007,144
2025-11-26,1,1007,136
2025-11-25,1,1007,127
2025-11-24,1,1007,167
2025-11-23,1,1007,42
2025-11-22,1,1007,68
2025-11-21,1,1007,44
2025-11-20,1,1007,167
2025-11-19,1,1007,128
2025-11-18,1,1007,22
2025-11-17,1,1007,38
2025-11-16,1,1007,49
2025-11-15,1,1007,148
2025-11-14,1,1007,190
2025-11-13,1,1007,16
2025-11-12,1,1007,6
2025-11-11,1,1007,85
2025-11-10,1,1007,197
2025-11-09,1,1007,33
2025-11-08,1,1007,70
2025-11-07,1,1007,46
2025-11-06,1,1007,188
2025-11-05,1,1007,24
2025-11-04,1,1007,100
2025-11-03,1,1007,121
2025-11-02,1,1007,85
2025-11-01,1,1007,128
2025-10-31,1,1007,166
2025-10-30,1,1007,100
2025-12-29,1,1008,35
2025-12-28,1,1008,49
2025-12-27,1,1008,167
2025-12-26,1,1008,96
2025-12-25,1,1008,93
2025-12-24,1,1008,177
2025-12-23,1,1008,125
2025-12-22,1,1008,119
2025-12-21,1,1008,155
2025-12-20,1,1008,147
2025-12-19,1,1008,120
2025-12-18,1,1008,179
2025-12-17,1,1008,140
2025-12-16,1,1008,151
2025-12-15,1,1008,52
2025-12-14,1,1008,13
2025-12-13,1,1008,92
2025-12-12,1,1008,69
2025-12-11,1,1008,181
2025-12-10,1,1008,184
2025-12-09,1,1008,30
2025-12-08,1,1008,127
2025-12-07,1,1008,20
2025-12-06,1,1008,35
2025-12-05,1,1008,34
2025-12-04,1,1008,159
2025-12-03,1,1008,85
2025-12-02,1,1008,100
2025-12-01,1,1008,147
2025-11-30,1,1008,33
2025-11-29,1,1008,63
2025-11-28,1,1008,94
2025-11-27,1,1008,195
2025-11-26,1,1008,131
2025-11-25,1,1008,189
2025-11-24,1,1008,96
2025-11-23,1,1008,23
2025-11-22,1,1008,138
2025-11-21,1,1008,117
2025-11-20,1,1008,143
2025-11-19,1,1008,189
2025-11-18,1,1008,169
2025-11-17,1,1008,119
2025-11-16,1,1008,49
2025-11-15,1,1008,195
2025-11-14,1,1008,177
2025-11-13,1,1008,55
2025-11-12,1,1008,1
2025-11-11,1,1008,138
2025-11-10,1,1008,20
2025-11-09,1,1008,39
2025-11-08,1,1008,76
2025-11-07,1,1008,21
2025-11-06,1,1008,80
2025-11-05,1,1008,30
2025-11-04,1,1008,45
2025-11-03,1,1008,189
2025-11-02,1,1008,155
2025-11-01,1,1008,140
2025-10-31,1,1008,150
2025-10-30,1,1008,89
2025-12-29,1,1009,136
2025-12-28,1,1009,184
2025-12-27,1,1009,191
2025-12-26,1,1009,102
2025-12-25,1,1009,164
2025-12-24,1,1009,39
2025-12-23,1,1009,93
2025-12-22,1,1009,49
2025-12-21,1,1009,51
2025-12-20,1,1009,12
2025-12-19,1,1009,145
2025-12-18,1,1009,54
2025-12-17,1,1009,79
2025-12-16,1,1009,7
2025-12-15,1,1009,146
2025-12-14,1,1009,72
2025-12-13,1,1009,25
2025-12-12,1,1009,66
2025-12-11,1,1009,48
2025-12-10,1,1009,113
2025-12-09,1,1009,131
2025-12-08,1,1009,85
2025-12-07,1,1009,143
2025-12-06,1,1009,15
2025-12-05,1,1009,42
2025-12-04,1,1009,59
2025-12-03,1,1009,101
2025-12-02,1,1009,73
2025-12-01,1,1009,66
2025-11-30,1,1009,110
2025-11-29,1,1009,92
2025-11-28,1,1009,187
2025-11-27,1,1009,197
2025-11-26,1,1009,1
2025-11-25,1,1009,192
2025-11-24,1,1009,58
2025-11-23,1,1009,193
2025-11-22,1,1009,99
2025-11-21,1,1009,75
2025-11-20,1,1009,144
2025-11-19,1,1009,8
2025-11-18,1,1009,160
2025-11-17,1,1009,70
2025-11-16,1,1009,18
2025-11-15,1,1009,6
2025-11-14,1,1009,147
2025-11-13,1,1009,103
2025-11-12,1,1009,60
2025-11-11,1,1009,159
2025-11-10,1,1009,44
2025-11-09,1,1009,126
2025-11-08,1,1009,15
2025-11-07,1,1009,178
2025-11-06,1,1009,76
2025-11-05,1,1009,26
2025-11-04,1,1009,176
2025-11-03,1,1009,116
2025-11-02,1,1009,156
2025-11-01,1,1009,156
2025-10-31,1,1009,178
2025-10-30,1,1009,61
2025-12-29,1,1010,34
2025-12-28,1,1010,132
2025-12-27,1,1010,177
2025-12-26,1,1010,13
2025-12-25,1,1010,92
2025-12-24,1,1010,199
2025-12-23,1,1010,181
2025-12-22,1,1010,177
2025-12-21,1,1010,131
2025-12-20,1,1010,49
2025-12-19,1,1010,106
2025-12-18,1,1010,47
2025-12-17,1,1010,153
2025-12-16,1,1010,9
2025-12-15,1,1010,180
2025-12-14,1,1010,115
2025-12-13,1,1010,181
2025-12-12,1,1010,151
2025-12-11,1,1010,171
2025-12-10,1,1010,104
2025-12-09,1,1010,79
2025-12-08,1,1010,73
2025-12-07,1,1010,18
2025-12-06,1,1010,185
2025-12-05,1,1010,46
2025-12-04,1,1010,59
2025-12-03,1,1010,152
2025-12-02,1,1010,127
2025-12-01,1,1010,25
2025-11-30,1,1010,199
2025-11-29,1,1010,110
2025-11-28,1,1010,198
2025-11-27,1,1010,106
2025-11-26,1,1010,1
2025-11-25,1,1010,73
2025-11-24,1,1010,150
2025-11-23,1,1010,109
2025-11-22,1,1010,21
2025-11-21,1,1010,23
2025-11-20,1,1010,61
2025-11-19,1,1010,109
2025-11-18,1,1010,200
2025-11-17,1,1010,110
2025-11-16,1,1010,22
2025-11-15,1,1010,181
2025-11-14,1,1010,53
2025-11-13,1,1010,90
2025-11-12,1,1010,168
2025-11-11,1,1010,149
2025-11-10,1,1010,32
2025-11-09,1,1010,153
2025-11-08,1,1010,19
2025-11-07,1,1010,17
2025-11-06,1,1010,12
2025-11-05,1,1010,176
2025-11-04,1,1010,187
2025-11-03,1,1010,164
2025-11-02,1,1010,8
2025-11-01,1,1010,148
2025-10-31,1,1010,4
2025-10-30,1,1010,17
2025-12-29,1,1011,164
2025-12-28,1,1011,52
2025-12-27,1,1011,48
2025-12-26,1,1011,88
2025-12-25,1,1011,120
2025-12-24,1,1011,19
2025-12-23,1,1011,150
2025-12-22,1,1011,79
2025-12-21,1,1011,75
2025-12-20,1,1011,47
2025-12-19,1,1011,67
2025-12-18,1,1011,8
2025-12-17,1,1011,6
2025-12-16,1,1011,197
2025-12-15,1,1011,122
2025-12-14,1,1011,174
2025-12-13,1,1011,196
2025-12-12,1,1011,109
2025-12-11,1,1011,70
2025-12-10,1,1011,130
2025-12-09,1,1011,40
2025-12-08,1,1011,18
2025-12-07,1,1011,108
2025-12-06,1,1011,141
2025-12-05,1,1011,74
2025-12-04,1,1011,170
2025-12-03,1,1011,76
2025-12-02,1,1011,101
2025-12-01,1,1011,77
2025-11-30,1,1011,197
2025-11-29,1,1011,200
2025-11-28,1,1011,97
2025-11-27,1,1011,1
2025-11-26,1,1011,34
2025-11-25,1,1011,153
2025-11-24,1,1011,142
2025-11-23,1,1011,174
2025-11-22,1,1011,115
2025-11-21,1,1011,140
2025-11-20,1,1011,86
2025-11-19,1,1011,96
2025-11-18,1,1011,2
2025-11-17,1,1011,10
2025-11-16,1,1011,52
2025-11-15,1,1011,79
2025-11-14,1,1011,100
2025-11-13,1,1011,113
2025-11-12,1,1011,22
2025-11-11,1,1011,186
2025-11-10,1,1011,182
2025-11-09,1,1011,12
2025-11-08,1,1011,111
2025-11-07,1,1011,103
2025-11-06,1,1011,187
2025-11-05,1,1011,121
2025-11-04,1,1011,116
2025-11-03,1,1011,90
2025-11-02,1,1011,74
2025-11-01,1,1011,123
2025-10-31,1,1011,149
2025-10-30,1,1011,117
2025-12-29,1,1012,64
2025-12-28,1,1012,136
2025-12-27,1,1012,64
2025-12-26,1,1012,75
2025-12-25,1,1012,189
2025-12-24,1,1012,51
2025-12-23,1,1012,52
2025-12-22,1,1012,106
2025-12-21,1,1012,100
2025-12-20,1,1012,125
2025-12-19,1,1012,19
2025-12-18,1,1012,130
2025-12-17,1,1012,126
2025-12-16,1,1012,62
2025-12-15,1,1012,22
2025-12-14,1,1012,192
2025-12-13,1,1012,192
2025-12-12,1,1012,93
2025-12-11,1,1012,170
2025-12-10,1,1012,167
2025-12-09,1,1012,132
2025-12-08,1,1012,121
2025-12-07,1,1012,30
2025-12-06,1,1012,76
2025-12-05,1,1012,30
2025-12-04,1,1012,58
2025-12-03,1,1012,68
2025-12-02,1,1012,117
2025-12-01,1,1012,27
2025-11-30,1,1012,163
2025-11-29,1,1012,40
2025-11-28,1,1012,94
2025-11-27,1,1012,71
2025-11-26,1,1012,148
2025-11-25,1,1012,140
2025-11-24,1,1012,71
2025-11-23,1,1012,161
2025-11-22,1,1012,184
2025-11-21,1,1012,178
2025-11-20,1,1012,150
2025-11-19,1,1012,42
2025-11-18,1,1012,33
2025-11-17,1,1012,122
2025-11-16,1,1012,69
2025-11-15,1,1012,27
2025-11-14,1,1012,25
2025-11-13,1,1012,31
2025-11-12,1,1012,198
2025-11-11,1,1012,175
2025-11-10,1,1012,106
2025-11-09,1,1012,152
2025-11-08,1,1012,112
2025-11-07,1,1012,59
2025-11-06,1,1012,13
