transaction_id,date,store_id,product_id,units_sold,sales_amount
1,2025-12-12,39,1031,5,688.95
2,2025-11-30,42,1031,8,991.84
3,2025-12-01,30,1029,8,61.28
4,2025-11-29,22,1019,4,272.0
5,2025-12-11,23,1039,7,272.79
6,2025-12-24,16,1004,5,470.1
7,2025-12-26,44,1020,3,301.26
8,2025-12-07,10,1035,9,941.22
9,2025-12-06,13,1012,10,644.3
10,2025-12-01,38,1050,3,225.57
11,2025-12-29,3,1025,8,402.32
12,2025-12-22,16,1033,9,293.04
13,2025-12-10,14,1011,7,547.4
14,2025-12-02,26,1008,1,19.96
15,2025-12-08,31,1005,5,342.4
16,2025-12-25,30,1025,10,561.8
17,2025-12-03,39,1050,7,562.66
18,2025-12-19,36,1044,10,855.3
19,2025-12-13,20,1048,2,136.18
20,2025-12-24,46,1020,9,990.09
21,2025-12-13,46,1002,10,1012.7
22,2025-12-19,22,1022,8,487.84
23,2025-12-22,2,1022,9,523.71
24,2025-12-04,36,1019,4,321.32
25,2025-12-03,50,1050,6,521.58
26,2025-12-04,42,1012,7,466.34
27,2025-12-28,12,1015,5,605.5
28,2025-12-23,19,1029,5,44.7
29,2025-12-17,4,1018,4,122.92
30,2025-12-28,20,1045,9,440.73
31,2025-11-29,39,1039,7,279.02
32,2025-12-14,47,1017,9,675.0
33,2025-12-02,40,1035,9,844.47
34,2025-12-10,26,1040,5,484.85
35,2025-12-01,11,1023,5,519.45
36,2025-12-19,28,1034,9,1075.41
37,2025-12-28,38,1020,6,575.88
38,2025-12-19,30,1010,1,13.65
39,2025-12-17,24,1047,6,40.86
40,2025-12-02,11,1037,2,194.64
41,2025-12-21,14,1013,5,261.0
42,2025-12-13,18,1047,2,13.5
43,2025-12-10,4,1031,4,510.44
44,2025-11-30,23,1008,6,97.38
45,2025-12-17,30,1012,5,300.1
46,2025-12-27,17,1011,8,548.88
47,2025-12-16,17,1006,9,503.91
48,2025-12-15,21,1019,4,265.6
49,2025-11-30,23,1002,4,410.32
50,2025-12-25,5,1010,5,71.05
51,2025-12-05,38,1012,4,308.88
52,2025-12-12,2,1039,5,171.9
53,2025-12-11,28,1024,1,78.94
54,2025-12-09,26,1023,10,1197.1
55,2025-12-12,42,1018,3,97.53
56,2025-12-01,14,1032,4,453.24
57,2025-12-18,27,1043,2,205.72
58,2025-12-22,9,1037,3,277.11
59,2025-12-26,30,1010,7,93.17
60,2025-12-09,49,1019,4,285.08
61,2025-12-14,4,1012,2,153.42
62,2025-12-06,29,1017,7,607.67
63,2025-12-21,12,1044,2,163.72
64,2025-11-30,20,1017,3,209.4
65,2025-12-25,36,1046,5,41.95
66,2025-12-24,34,1001,5,219.85
67,2025-12-23,42,1044,8,670.72
68,2025-11-30,42,1017,1,78.1
69,2025-12-06,43,1040,2,161.16
70,2025-12-11,15,1005,4,298.72
71,2025-12-09,16,1016,8,556.56
72,2025-12-04,4,1043,10,957.9
73,2025-12-08,45,1027,5,231.15
74,2025-12-29,47,1033,5,153.2
75,2025-12-03,42,1035,9,926.82
76,2025-12-10,6,1024,4,420.16
77,2025-12-24,35,1035,4,473.72
78,2025-12-05,38,1026,10,301.8
79,2025-11-29,27,1021,10,473.5
80,2025-12-04,30,1016,9,634.32
81,2025-12-23,44,1042,2,62.5
82,2025-12-09,19,1012,1,80.82
83,2025-12-09,5,1042,8,230.48
84,2025-12-03,12,1012,7,485.24
85,2025-12-29,44,1026,3,86.64
86,2025-12-05,49,1022,6,377.28
87,2025-12-22,31,1009,10,152.6
88,2025-12-06,14,1010,6,95.88
89,2025-12-26,1,1043,5,484.3
90,2025-12-12,16,1010,4,60.72
91,2025-12-28,25,1050,6,544.32
92,2025-12-15,19,1003,7,459.06
93,2025-12-17,15,1040,7,500.22
94,2025-12-11,5,1014,7,153.23
95,2025-12-24,3,1048,1,80.33
96,2025-12-27,34,1040,2,166.1
97,2025-11-30,3,1010,5,59.8
98,2025-12-20,7,1020,8,876.8
99,2025-12-17,5,1007,10,145.6
100,2025-12-03,30,1006,5,314.6
101,2025-12-15,37,1041,9,950.76
102,2025-12-26,49,1006,9,476.46
103,2025-12-23,43,1018,1,30.03
104,2025-12-13,4,1016,1,76.28
105,2025-11-29,24,1025,2,126.48
106,2025-12-28,13,1004,7,590.8
107,2025-12-24,33,1029,7,51.24
108,2025-12-10,28,1010,8,113.36
109,2025-12-02,17,1028,7,247.31
110,2025-12-13,25,1023,9,1061.19
111,2025-12-03,12,1018,5,162.7
112,2025-12-07,28,1029,1,9.35
113,2025-12-29,34,1041,4,425.4
114,2025-12-02,17,1050,10,830.7
115,2025-12-11,11,1042,5,114.9
116,2025-12-07,2,1027,5,293.3
117,2025-12-14,46,1018,5,124.25
118,2025-12-12,47,1038,7,366.1
119,2025-12-02,31,1031,7,954.8
120,2025-12-16,39,1021,2,103.9
121,2025-12-07,9,1045,5,204.9
122,2025-12-08,28,1005,1,59.58
123,2025-12-26,4,1019,9,693.36
124,2025-12-02,2,1041,8,659.28
125,2025-12-15,34,1022,2,119.24
126,2025-12-06,11,1032,8,758.48
127,2025-12-19,30,1033,8,199.44
128,2025-12-21,5,1027,2,119.16
129,2025-12-06,42,1042,9,232.11
130,2025-12-15,11,1005,2,154.32
131,2025-12-25,50,1041,10,842.2
